name,F,M,All,ratio,gender
All,159990140.0,162412587.0,322402727.0,0.0216804496481,1.0
James,23044.0,5049727.0,5072771.0,7.77567042136,1.0
John,21578.0,5040319.0,5061897.0,7.86781008209,1.0
Robert,20055.0,4767995.0,4788050.0,7.89327694653,1.0
Michael,21470.0,4243903.0,4265373.0,7.62692568051,1.0
Mary,4103935.0,15139.0,4119074.0,-8.08259415895,0.0
William,15806.0,3986586.0,4002392.0,7.97853766824,1.0
David,12787.0,3525961.0,3538748.0,8.10719487863,1.0
Richard,9534.0,2542735.0,2552269.0,8.05908377362,1.0
Joseph,10529.0,2519280.0,2529809.0,7.90249924424,1.0
Charles,12316.0,2335387.0,2347703.0,7.56698405789,1.0
Thomas,8404.0,2254734.0,2263138.0,8.06766536566,1.0
Christopher,9365.0,1947979.0,1957344.0,7.70048341486,1.0
Daniel,8004.0,1810130.0,1818134.0,7.82115642999,1.0
Patricia,1568742.0,4964.0,1573706.0,-8.30388927107,0.0
Elizabeth,1561874.0,5107.0,1566981.0,-8.25658629823,0.0
Matthew,5393.0,1498203.0,1503596.0,8.11792936677,1.0
Jennifer,1455078.0,4809.0,1459887.0,-8.24114384986,0.0
George,9915.0,1443869.0,1453784.0,7.18611136688,1.0
Linda,1448771.0,3756.0,1452527.0,-8.59141679498,0.0
Barbara,1431316.0,4139.0,1435455.0,-8.43384425554,0.0
Donald,5566.0,1405550.0,1411116.0,7.98027815199,1.0
Paul,5848.0,1372511.0,1378359.0,7.87465868514,1.0
Anthony,6954.0,1351350.0,1358304.0,7.60234259905,1.0
Mark,4477.0,1334372.0,1338849.0,8.21941288762,1.0
Edward,5360.0,1270291.0,1275651.0,7.88871031339,1.0
Steven,4451.0,1260654.0,1265105.0,8.14582715075,1.0
Kenneth,5330.0,1257723.0,1263053.0,7.88246297077,1.0
Margaret,1232653.0,3737.0,1236390.0,-8.36567044961,0.0
Andrew,4790.0,1206648.0,1211438.0,7.97676350718,1.0
Brian,4540.0,1146417.0,1150957.0,7.98022389547,1.0
Kevin,5246.0,1128247.0,1133493.0,7.7486494195,1.0
Joshua,4792.0,1125231.0,1130023.0,7.87537758095,1.0
Susan,1118932.0,2534.0,1121466.0,-8.78649012336,0.0
Dorothy,1104280.0,3674.0,1107954.0,-8.23153868485,0.0
Ronald,3849.0,1072189.0,1076038.0,8.12185985264,1.0
Timothy,4312.0,1047868.0,1052180.0,7.9248840985,1.0
Sarah,1040054.0,3284.0,1043338.0,-8.30698859313,0.0
Jessica,1031638.0,3559.0,1035197.0,-8.17924917217,0.0
Helen,1012712.0,3106.0,1015818.0,-8.34895040672,0.0
Nancy,999033.0,2946.0,1001979.0,-8.40563109322,0.0
Betty,998065.0,3619.0,1001684.0,-8.10739885767,0.0
Jason,4968.0,991561.0,996529.0,7.64089254479,1.0
Karen,980322.0,2747.0,983069.0,-8.4792549791,0.0
Jeffrey,3492.0,964279.0,967771.0,8.10925326033,1.0
Lisa,962293.0,2785.0,965078.0,-8.43265509642,0.0
Frank,4609.0,903096.0,907705.0,7.61428177787,1.0
Gary,3287.0,896214.0,899501.0,8.09092799675,1.0
Ryan,18749.0,858602.0,877351.0,5.51710397842,1.0
Sandra,870721.0,2694.0,873415.0,-8.33631685757,0.0
Eric,4268.0,851715.0,855983.0,7.64066677168,1.0
Anna,851152.0,2700.0,853852.0,-8.30031357606,0.0
Nicholas,3054.0,847367.0,850421.0,8.11614307288,1.0
Stephen,2933.0,846078.0,849011.0,8.17226979033,1.0
Ashley,816948.0,15402.0,832350.0,-5.72905464467,0.0
Donna,829458.0,2232.0,831690.0,-8.53768809409,0.0
Carol,815035.0,8653.0,823688.0,-6.55751780135,0.0
Kimberly,814903.0,4242.0,819145.0,-7.58573991077,0.0
Ruth,816053.0,2777.0,818830.0,-8.19899186623,0.0
Larry,3560.0,801006.0,804566.0,7.81379199788,1.0
Jacob,2103.0,800407.0,802510.0,8.57214112417,1.0
Michelle,796579.0,3239.0,799818.0,-7.94212516846,0.0
Laura,787080.0,2573.0,789653.0,-8.25691501359,0.0
Jonathan,3439.0,775934.0,779373.0,7.81780101766,1.0
Amanda,776812.0,2131.0,778943.0,-8.50989108398,0.0
Scott,2612.0,765970.0,768582.0,8.19598918152,1.0
Raymond,3516.0,761785.0,765301.0,7.75930499995,1.0
Emily,754908.0,1651.0,756559.0,-8.83681690465,0.0
Melissa,742742.0,2490.0,745232.0,-8.2205716085,0.0
Justin,3736.0,740428.0,744164.0,7.63072118787,1.0
Deborah,737810.0,1657.0,739467.0,-8.79853193013,0.0
Rebecca,734133.0,2102.0,736235.0,-8.44813497463,0.0
Stephanie,727682.0,2633.0,730315.0,-8.11045679292,0.0
Sharon,719201.0,3057.0,722258.0,-7.87813466437,0.0
Brandon,4076.0,713673.0,717749.0,7.4519653311,1.0
Kathleen,708768.0,1692.0,710460.0,-8.71044009078,0.0
Cynthia,704320.0,1960.0,706280.0,-8.48923358578,0.0
Gregory,2856.0,698946.0,701802.0,7.93504120887,1.0
Shirley,683829.0,9545.0,693374.0,-6.1627465984,0.0
Amy,675651.0,1835.0,677486.0,-8.52435435755,0.0
Samuel,2721.0,672541.0,675262.0,7.9493414543,1.0
Patrick,2817.0,653935.0,656752.0,7.85884386754,1.0
Angela,652453.0,2134.0,654587.0,-8.25616999329,0.0
Catherine,645968.0,1823.0,647791.0,-8.46900432678,0.0
Virginia,644381.0,2009.0,646390.0,-8.32529258156,0.0
Benjamin,2280.0,639065.0,641345.0,8.13078504211,1.0
Jack,2588.0,626001.0,628589.0,7.91818353423,1.0
Jerry,17304.0,607484.0,624788.0,5.13366893579,1.0
Henry,4440.0,614066.0,618506.0,7.11169023843,1.0
Walter,3630.0,613336.0,616966.0,7.40056427458,1.0
Dennis,2637.0,612811.0,615448.0,7.86040081254,1.0
Katherine,609710.0,1803.0,611513.0,-8.40158000118,0.0
Brenda,603814.0,2121.0,605935.0,-8.1532157764,0.0
